ctn_no,category,actual_position_block,bay,stack,tier,first_inyard_time,last_outyard_time,order,vessel_reference,destination_port_code,ctn_status,ctn_size,weight,ctn_weight,flag
SEGU4315303,1,83,82,2,1,2022/10/21 16:44,,1,NEU5,NLRTM,1,2.25,29482.4,9,0
CMAU4087913,1,83,82,2,2,2022/10/22 4:37,,2,NEU5,NLRTM,1,2.25,29408.4,9,0
GESU6699353,1,97,62,6,2,2022/10/22 6:37,,3,NEU5,GBSOU,1,2.25,13824.6,4,0
TRHU5463774,1,83,82,2,3,2022/10/22 9:25,,4,NEU5,NLRTM,1,2.25,23321.5,7,0
SEGU1602980,1,4A,65,2,1,2022/10/22 10:11,,5,NEU5,NLRTM,1,1,7900,2,0
MAGU2455317,1,59,61,3,3,2022/10/22 11:11,,6,NEU5,NLRTM,1,1,26667.8,8,0
SEKU5489860,1,52,64,6,1,2022/10/22 11:38,,7,NEU5,GBSOU,1,2.25,9670,3,0
TRHU7862388,1,71,68,2,3,2022/10/22 12:26,,8,NEU5,GBSOU,1,2.25,11794,3,0
RPBU9002480,1,85,50,3,3,2022/10/22 12:29,,9,NEU5,BEANR,1,2.25,12535,4,0
AXIU1971521,1,65,20,2,3,2022/10/22 12:47,,10,NEU5,NLRTM,1,2.25,16962,5,0
CMAU6012066,1,65,20,2,2,2022/10/22 12:51,,11,NEU5,NLRTM,1,2.25,17364,5,0
CMAU8130690,1,71,64,3,1,2022/10/22 14:23,,12,NEU5,GBSOU,1,2,13446,4,0
GESU5403282,1,42,86,6,2,2022/10/22 14:42,,13,NEU5,NLRTM,1,2.25,23060.8,7,0
MAGU5346500,1,52,52,6,1,2022/10/22 15:49,,14,NEU5,NLRTM,1,2.25,29306.6,9,0
TEMU2699227,1,47,61,2,2,2022/10/22 16:01,,15,NEU5,NLRTM,1,1,4671,1,0
GESU6466053,1,45,50,3,3,2022/10/22 16:18,,16,NEU5,NLRTM,1,2.25,29187.4,9,0
NIRU8221467,1,96,76,4,1,2022/10/22 16:27,,17,NEU5,BEANR,1,2.25,19431,6,0
APHU6516937,1,45,50,3,4,2022/10/22 16:31,,18,NEU5,NLRTM,1,2.25,29088.5,9,0
APHU6667609,1,45,50,3,5,2022/10/22 16:35,,19,NEU5,NLRTM,1,2.25,21238,7,0
TCKU1053881,1,45,47,1,1,2022/10/22 16:48,,20,NEU5,BEANR,1,1,6400,2,0
TCLU7169813,1,59,61,3,2,2022/10/22 16:56,,21,NEU5,NLRTM,1,1,24459,8,0
CMAU6137865,1,52,64,6,2,2022/10/22 17:23,,22,NEU5,GBSOU,1,2.25,15823,5,0
CMAU0670394,1,59,51,5,1,2022/10/22 17:25,,23,NEU5,NLRTM,1,1,18060,6,0
RPBU9001822,1,85,50,3,2,2022/10/22 20:07,,24,NEU5,BEANR,1,2.25,8984,2,0
CMAU5848637,1,7A,42,4,5,2022/10/22 20:08,,25,NEU5,GBSOU,1,2.25,30950,10,0
TCNU2938002,1,52,52,5,1,2022/10/22 20:55,,26,NEU5,GBSOU,1,2.25,12255.2,4,0
TGBU2166697,1,59,51,5,2,2022/10/22 21:48,,27,NEU5,NLRTM,1,1,17060,5,0
CAIU9690423,1,51,74,4,1,2022/10/22 22:01,,28,NEU5,GBSOU,1,2.25,11291,3,0
CMAU4223326,1,6C,18,2,2,2022/10/22 23:31,,29,NEU5,GBSOU,1,2.25,11511.5,3,0
CAIU9310570,1,52,52,1,2,2022/10/23 0:07,,30,NEU5,NLRTM,1,2.25,29575.9,9,0
TCNU5575615,1,6C,22,1,3,2022/10/23 8:03,,31,NEU5,NLRTM,1,2.25,17776,5,0
CMAU5568092,1,53,10,6,1,2022/10/23 11:09,,32,NEU5,GBSOU,1,2.25,25171,8,0
MAGU2524465,1,42,17,5,1,2022/10/23 13:07,,33,NEU5,GBSOU,1,1,4865,1,0
TCKU6303999,1,6C,18,2,1,2022/10/23 13:35,,34,NEU5,GBSOU,1,2.25,10435,3,0
CMAU8033160,1,59,44,2,3,2022/10/23 14:40,,35,NEU5,GBSOU,1,2,13683,4,0
CMAU6750692,1,83,82,1,1,2022/10/23 15:01,,36,NEU5,NLRTM,1,2.25,28258.4,9,0
TCNU3931677,1,83,82,2,4,2022/10/23 15:09,,37,NEU5,NLRTM,1,2.25,28862,9,0
APZU4388423,1,59,44,2,4,2022/10/23 15:16,,38,NEU5,GBSOU,1,2,11280,3,0
TLLU4237553,1,83,82,5,2,2022/10/23 15:24,,39,NEU5,NLRTM,1,2.25,21238,7,0
SEKU4508570,1,85,70,1,1,2022/10/23 15:29,,40,NEU5,NLRTM,1,2.25,21238,7,0
SEGU4648639,1,59,38,6,1,2022/10/23 15:45,,41,NEU5,NLRTM,1,2.25,21238,7,0
CMAU7793240,1,59,38,6,2,2022/10/23 16:19,,42,NEU5,NLRTM,1,2.25,27500.5,9,0
TLLU4928241,1,59,38,5,4,2022/10/23 16:30,,43,NEU5,NLRTM,1,2.25,21238,7,0
CMAU7139841,1,85,70,1,2,2022/10/23 16:31,,44,NEU5,NLRTM,1,2.25,26242.3,8,0
APHU7111996,1,85,70,1,3,2022/10/23 16:34,,45,NEU5,NLRTM,1,2.25,21238,7,0
TCNU7964344,1,52,24,4,1,2022/10/23 16:34,,46,NEU5,NLRTM,1,2.25,29316.8,9,0
RPBU9002217,1,6C,22,1,4,2022/10/23 18:25,,47,NEU5,NLRTM,1,2.25,17040,5,0
FFAU4227422,1,6C,22,4,2,2022/10/23 19:05,,48,NEU5,NLRTM,1,2.25,19940,6,0
